"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"1991","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,600",""
"1996","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,000",""
"1997","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,900",""
"1998","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,400",""
"1999","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,300",""
"2000","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,300",""
"2001","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,500",""
"2002","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,900",""
"2003","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,000",""
"2004","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,000",""
"2005","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,500",""
"2006","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,100",""
"2007","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,900",""
"2008","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,900",""
"2009","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,900",""
"2010","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,500",""
"2011","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,800",""
"2012","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,700",""
"2013","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,600",""
"2014","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,800",""
"2015","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,200",""
"2016","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,500",""
"2017","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,000",""
"1991","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,200",""
"1996","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,500",""
"1997","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","2,900",""
"1998","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,100",""
"1999","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","2,800",""
"2000","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,000",""
"2001","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,200",""
"2002","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,400",""
"2003","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,600",""
"2004","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,900",""
"2005","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,200",""
"2006","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,500",""
"2007","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,800",""
"2008","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,100",""
"2009","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,000",""
"2010","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,100",""
"2011","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,300",""
"2012","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,300",""
"2013","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,400",""
"2014","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,500",""
"2015","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,700",""
"2016","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,000",""
