"Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO , SPOL"

" ";" ";"1991";" ";" ";"1992";" ";" ";"1993";" ";" ";"1994";" ";" ";"1995";" ";" ";"1996";" ";" ";"1997";" ";" ";"1998";" ";" ";"1999";" ";" ";"2000";" ";" ";"2001";" ";" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"Starostne skupine - SKUPAJ";5989;3638;2351;3461;1738;1723;2745;1357;1388;1919;940;979;5879;3656;2223;9495;5979;3516;7889;5388;2501;4603;2817;1786;4941;3683;1258;6185;4397;1788;7803;5321;2482;9134;6216;2918;9279;6229;3050;10171;7485;2686;15041;11130;3911;20016;15750;4266;29193;23659;5534;30693;23815;6878;30296;22973;7323;15416;9841;5575;14083;8317;5766;15022;9102;5920;13871;8465;5406;13846;8242;5604;15420;9215;6205;16623;10417;6206;18808;12264;6544
" ";"0-4 let";601;302;299;301;167;134;212;121;91;145;77;68;412;209;203;487;264;223;391;209;182;277;129;148;118;58;60;175;82;93;251;126;125;309;167;142;344;180;164;322;169;153;638;345;293;851;464;387;800;410;390;1442;753;689;1060;557;503;1013;515;498;910;484;426;988;512;476;843;452;391;847;453;394;869;471;398;796;419;377;851;452;399
" ";"5-9 let";353;179;174;226;117;109;193;105;88;145;77;68;345;176;169;638;330;308;306;154;152;229;127;102;133;59;74;153;71;82;187;88;99;217;104;113;230;109;121;230;118;112;325;179;146;366;190;176;523;276;247;687;363;324;752;403;349;510;285;225;529;267;262;620;332;288;602;314;288;640;343;297;804;430;374;746;381;365;821;445;376
" ";"10-14 let";226;106;120;264;134;130;248;127;121;131;65;66;261;142;119;505;259;246;232;114;118;194;104;90;145;78;67;146;81;65;168;79;89;193;90;103;194;94;100;207;109;98;322;175;147;364;198;166;524;262;262;629;346;283;675;349;326;436;232;204;460;248;212;511;271;240;503;272;231;539;291;248;736;415;321;688;367;321;727;361;366
" ";"15-19 let";397;194;203;210;104;106;201;106;95;137;75;62;419;289;130;739;507;232;619;433;186;298;168;130;249;142;107;307;178;129;357;199;158;460;290;170;494;313;181;654;453;201;959;654;305;1216;900;316;1503;1100;403;1253;809;444;1190;762;428;682;329;353;651;350;301;738;393;345;748;406;342;839;463;376;951;537;414;1047;580;467;1051;574;477
" ";"20-24 let";961;502;459;242;114;128;165;85;80;152;65;87;590;362;228;1099;687;412;1524;1141;383;667;384;283;764;598;166;1046;758;288;1429;929;500;1581;1034;547;1625;1089;536;1747;1270;477;2688;2030;658;3787;3140;647;5367;4535;832;5014;4134;880;5119;3946;1173;2075;1261;814;1620;876;744;1794;930;864;1599;854;745;1562;813;749;1650;874;776;1938;1111;827;2364;1513;851
" ";"25-29 let";1061;719;342;237;118;119;229;114;115;131;71;60;779;501;278;1288;824;464;1285;900;385;660;424;236;776;609;167;1066;777;289;1323;900;423;1510;1040;470;1520;1050;470;1669;1226;443;2490;1880;610;3314;2723;591;5092;4246;846;5362;4348;1014;5550;4402;1148;2495;1644;851;2057;1168;889;2240;1332;908;2050;1212;838;1871;1047;824;2130;1251;879;2236;1367;869;2661;1765;896
" ";"30-34 let";675;497;178;219;125;94;226;125;101;155;88;67;752;514;238;1219;792;427;955;701;254;523;337;186;744;581;163;788;578;210;988;700;288;1153;826;327;1201;875;326;1320;1055;265;1972;1524;448;2575;2098;477;4125;3457;668;4196;3354;842;4340;3408;932;1919;1264;655;1769;1074;695;1943;1236;707;1712;1089;623;1770;1083;687;1998;1195;803;2113;1375;738;2497;1725;772
