"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"1996";" ";" ";"1997";" ";" ";"1998";" ";" ";"1999";" ";" ";"2000";" ";" ";"2001";" ";" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"Država državljanstva - SKUPAJ";9495;5979;3516;7889;5388;2501;4603;2817;1786;4941;3683;1258;6185;4397;1788;7803;5321;2482;9134;6216;2918;9279;6229;3050;10171;7485;2686;15041;11130;3911;20016;15750;4266;29193;23659;5534;30693;23815;6878;30296;22973;7323;15416;9841;5575;14083;8317;5766;15022;9102;5920;13871;8465;5406;13846;8242;5604;15420;9215;6205;16623;10417;6206;18808;12264;6544
" ";"EVROPA";9152;5751;3401;7574;5162;2412;4384;2689;1695;4855;3613;1242;6008;4303;1705;7459;5141;2318;8817;6054;2763;8863;6015;2848;9850;7311;2539;14646;10927;3719;19620;15541;4079;28579;23338;5241;29922;23447;6475;29396;22506;6890;14731;9498;5233;13559;8030;5529;14485;8802;5683;13322;8167;5155;13334;7960;5374;14779;8872;5907;15936;10023;5913;18013;11820;6193
" ";"  Albanija";19;19;0;12;9;3;3;3;0;12;9;3;4;2;2;20;14;6;23;16;7;26;19;7;12;9;3;18;15;3;21;18;3;16;13;3;17;14;3;34;25;9;10;6;4;7;2;5;19;4;15;11;5;6;10;3;7;18;5;13;11;1;10;11;4;7
" ";"  Avstrija";41;22;19;34;19;15;13;8;5;6;4;2;25;17;8;48;27;21;27;18;9;33;18;15;29;16;13;145;82;63;94;62;32;102;65;37;136;86;50;107;68;39;89;59;30;93;70;23;93;66;27;53;34;19;65;45;20;52;34;18;74;47;27;65;35;30
" ";"  Belgija";4;3;1;2;2;0;0;0;0;0;0;0;2;1;1;11;5;6;11;5;6;17;12;5;4;4;0;28;17;11;8;6;2;15;9;6;15;9;6;15;10;5;23;14;9;15;10;5;15;8;7;12;8;4;14;13;1;7;5;2;14;9;5;28;21;7
" ";"  Bolgarija";15;6;9;21;12;9;45;40;5;23;20;3;12;8;4;12;6;6;23;13;10;37;24;13;48;40;8;40;24;16;79;60;19;790;716;74;484;403;81;539;412;127;606;455;151;727;530;197;742;539;203;685;521;164;809;679;130;662;522;140;743;592;151;800;652;148
" ";"  Bosna in Hercegovina";2699;1434;1265;1811;1096;715;1083;738;345;1560;1421;139;2016;1726;290;2360;2008;352;2531;2014;517;2105;1614;491;2966;2480;486;4307;3718;589;7871;7010;861;12479;11225;1254;13038;11459;1579;12910;10846;2064;4403;3112;1291;3387;2152;1235;4045;2616;1429;3846;2390;1456;3376;2034;1342;4694;2958;1736;4811;3250;1561;6185;4415;1770
" ";"  Èeška republika";5;2;3;17;5;12;13;5;8;17;1;16;20;8;12;28;7;21;18;11;7;25;12;13;9;1;8;62;16;46;51;13;38;45;20;25;44;13;31;33;13;20;43;11;32;31;12;19;25;13;12;20;7;13;44;15;29;30;14;16;27;6;21;17;8;9
