"Odseljeni po: SPOL, DRŽAVA PRIHODNJEGA PREBIVALIŠÈA, LETO,"
"DRŽAVLJANSTVO , IZOBRAZBA"

" ";" ";"2011";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";"2017";" ";" ";" ";" ";" "
" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" "
" ";" ";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska"
"Moški"
" ";"....Bosna in Hercegovina";49;66;16;762;1448;16;64;104;19;491;1003;17;59;80;17;295;689;6;42;46;15;327;580;16;48;59;5;282;590;20;29;54;12;275;847;26;44;77;18;236;1037;25
" ";"....Èrna gora";3;7;2;7;12;0;5;14;6;8;10;1;3;11;2;6;9;3;1;5;4;4;8;2;1;3;4;7;11;3;4;5;0;9;14;3;0;6;1;7;11;5
" ";"....Kosovo";8;8;4;474;153;4;21;17;3;263;168;5;18;19;7;167;107;7;5;10;5;129;81;1;13;12;10;100;83;3;5;7;7;156;126;4;4;14;8;123;141;3
" ";"....Makedonija";18;11;9;302;210;9;18;21;6;206;201;11;14;27;3;148;157;18;5;18;7;103;139;19;8;15;4;89;152;18;8;12;4;76;129;21;9;18;10;82;162;22
" ";"....Srbija";42;56;25;263;320;21;51;102;34;139;253;18;46;84;34;109;255;30;22;52;16;175;324;29;24;56;29;150;312;33;23;67;16;124;324;26;20;66;25;173;470;35
" ";"....Avstrija";82;161;36;11;19;12;156;315;75;22;34;10;159;444;101;20;46;7;225;659;152;16;62;12;188;714;190;20;48;8;179;754;189;21;60;8;221;727;219;17;59;13
" ";"....Bolgarija";1;1;0;132;91;6;0;3;1;170;143;11;0;5;2;122;146;6;0;4;1;127;156;11;0;2;1;159;201;9;0;2;1;145;195;7;5;32;52;4;22;3
" ";"....Francija";8;15;9;5;6;16;15;28;21;8;9;13;10;33;12;9;13;12;8;21;10;8;23;8;9;27;15;8;17;8;8;23;17;3;13;10;0;3;2;189;159;6
" ";"....Hrvaška";65;151;37;116;233;34;94;154;42;85;270;37;86;178;52;102;340;65;69;139;41;160;435;51;52;155;39;99;346;51;50;127;35;92;324;49;53;142;68;52;383;55
" ";"....Italija";35;55;12;36;62;9;42;71;25;31;60;16;26;58;19;28;77;17;22;60;21;55;92;21;13;61;23;47;101;24;18;60;21;36;154;35;23;70;34;47;165;45
" ";"....Nemèija";131;289;69;15;31;7;280;559;161;27;48;9;194;446;108;42;75;14;161;421;149;59;153;13;186;447;166;120;250;10;166;485;189;105;313;21;143;502;225;159;481;19
" ";"....Slovaška";2;2;4;36;76;8;0;2;2;26;31;1;0;4;2;21;27;5;0;3;1;20;26;3;3;4;1;20;45;3;1;10;5;13;28;5;1;5;3;16;23;0
" ";"....Združeno kraljestvo";7;32;17;10;15;10;17;64;46;9;20;13;17;65;50;7;31;9;22;82;75;14;19;8;13;99;81;10;12;12;21;100;91;6;15;6;23;142;108;6;17;9
" ";"....ostale države èlanice EU";44;100;63;72;82;35;67;175;95;49;65;33;46;161;89;53;74;37;41;148;118;70;122;32;30;129;121;89;139;33;38;168;168;74;70;32;57;203;201;78;114;47
" ";"....Ruska federacija";2;6;3;5;6;10;1;4;5;6;5;13;6;3;14;2;3;19;2;2;10;10;3;16;1;7;11;27;10;33;1;6;7;22;15;45;2;5;10;32;16;68
" ";"....Švica";28;47;23;2;4;1;73;120;41;7;8;1;56;134;34;13;7;0;71;171;48;13;17;0;103;225;92;4;10;3;97;268;68;8;13;2;88;253;59;7;12;1
" ";"....Ukrajina";2;8;1;14;16;4;1;3;1;15;23;2;1;3;2;13;23;2;1;2;1;9;14;9;0;3;2;6;10;10;1;0;0;11;8;15;1;1;4;11;24;21
" ";"....ostale evropske države";4;8;3;9;8;5;7;16;6;10;4;2;4;10;9;5;5;3;7;14;6;6;4;5;4;13;10;8;6;2;5;18;7;3;3;2;6;16;9;3;2;3
" ";"AFRIKA";2;14;0;6;10;6;7;7;7;6;11;4;4;8;5;9;8;4;0;4;3;10;9;3;1;5;5;8;8;3;0;4;5;8;9;5;4;5;6;10;11;7
" ";"AZIJA";5;13;16;56;37;21;10;27;29;39;40;23;11;40;34;21;28;14;7;44;62;32;44;21;5;39;47;19;36;22;5;35;39;17;44;26;6;48;61;21;61;31
" ";"SEVERNA IN SREDNJA AMERIKA";24;79;31;18;9;7;36;106;49;14;11;10;50;101;61;16;10;9;33;91;55;11;9;16;34;93;66;7;18;11;16;68;65;14;16;7;26;88;66;7;15;13
" ";"JUŽNA AMERIKA";4;7;3;4;5;2;8;10;8;6;4;2;2;13;7;2;4;2;3;8;4;3;3;0;5;7;7;4;5;3;2;5;1;1;5;1;3;10;2;4;7;4
" ";"AVSTRALIJA IN OCEANIJA";16;41;14;5;3;1;23;58;23;2;2;2;16;43;32;1;3;2;12;56;43;5;6;2;12;42;25;2;3;1;16;34;25;4;3;3;18;40;31;2;6;3
"Ženske"
" ";"....Bosna in Hercegovina";20;24;12;191;94;25;52;58;16;146;87;21;70;48;15;145;89;28;38;27;7;165;116;28;38;27;11;126;107;23;26;14;4;142;113;42;43;24;7;123;120;28
" ";"....Èrna gora";3;5;3;8;2;1;6;15;7;9;3;2;5;7;4;5;8;4;1;5;3;9;3;2;2;1;2;3;4;2;3;2;2;9;5;3;0;4;3;3;5;7
" ";"....Kosovo";1;5;3;78;32;11;13;8;4;72;29;9;6;13;1;69;28;14;1;4;3;67;48;12;10;2;2;85;33;13;4;5;3;106;55;12;2;2;4;77;42;15
" ";"....Makedonija";7;13;2;77;53;19;10;10;4;82;50;21;13;7;7;72;54;22;7;6;3;91;59;31;10;7;5;67;54;21;6;5;6;54;55;33;7;8;8;63;73;31
" ";"....Srbija";29;37;14;70;51;27;44;68;29;56;48;19;56;80;22;58;51;27;30;31;16;60;55;30;22;40;30;65;62;34;37;29;16;49;45;25;16;25;15;51;40;19
" ";"....Avstrija";69;121;45;9;7;5;147;238;104;15;11;7;163;287;124;24;18;6;167;426;214;32;15;9;160;381;238;28;28;9;163;474;240;36;26;10;189;465;278;26;36;18
" ";"....Bolgarija";1;1;0;37;25;3;0;1;1;43;39;4;0;1;1;26;53;6;0;1;0;40;41;10;0;1;2;30;36;3;0;0;1;48;33;8;8;30;65;3;4;5
" ";"....Francija";4;11;14;6;6;2;12;27;22;6;2;0;11;20;22;6;3;5;12;17;21;8;4;6;7;17;34;6;6;4;6;12;33;5;1;8;0;2;1;43;19;6
