"Priseljeni po: SPOL, DRŽAVA PREJŠNJEGA PREBIVALIŠÈA, LETO,"
"DRŽAVLJANSTVO , IZOBRAZBA"

" ";" ";"2011";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";"2017";" ";" ";" ";" ";" "
" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" ";"Državljani RS";" ";" ";"Tuji državljani";" ";" "
" ";" ";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska"
"Moški"
" ";"....Bosna in Hercegovina";25;66;24;494;1399;17;23;35;8;526;1757;35;22;37;6;533;1493;23;13;56;3;408;1277;30;18;51;11;560;1916;42;11;43;5;578;2310;43;21;49;8;605;3354;56
" ";"....Èrna gora";2;3;2;13;13;4;1;7;0;10;18;4;0;1;1;9;17;1;3;3;2;15;24;8;3;6;4;12;24;9;0;3;0;8;14;5;1;2;1;7;19;6
" ";"....Kosovo";0;6;3;334;164;4;4;5;4;310;189;4;4;1;2;295;198;3;5;2;2;291;191;8;8;8;5;245;186;4;2;4;5;265;182;6;6;2;3;319;201;8
" ";"....Makedonija";10;13;7;246;254;20;6;14;7;229;245;41;5;17;3;144;216;28;2;10;6;144;212;32;7;12;2;106;177;28;3;12;5;138;234;32;3;13;4;165;269;52
" ";"....Srbija";29;43;20;228;566;44;13;57;17;231;636;67;18;34;13;208;501;66;17;40;14;207;505;50;8;39;16;199;625;57;12;45;23;317;922;62;16;51;19;315;1255;76
" ";"....Avstrija";31;87;23;23;40;6;23;86;20;26;36;12;37;97;22;7;26;9;42;144;27;10;32;6;51;169;47;9;22;6;51;169;47;27;33;11;59;244;69;11;22;10
" ";"....Belgija";2;17;38;2;7;3;4;8;9;1;2;4;3;14;12;3;3;1;5;6;8;4;4;4;3;13;13;0;1;1;2;11;14;3;5;4;2;11;12;4;8;4
" ";"....Bolgarija";1;3;1;233;191;14;1;2;1;208;214;15;1;0;0;180;222;13;1;2;0;241;296;18;0;0;0;192;241;13;0;1;0;235;231;20;0;2;0;245;284;14
" ";"....Hrvaška";38;93;24;128;364;50;37;98;20;140;523;73;22;73;16;170;589;63;24;82;22;95;474;67;29;93;25;75;369;47;19;69;19;54;496;82;16;66;21;79;423;96
" ";"....Italija";23;49;26;56;102;26;21;62;13;67;170;34;11;55;20;78;166;28;30;54;19;61;191;47;13;50;25;61;246;60;10;60;25;66;244;69;8;64;21;59;225;65
" ";"....Nemèija";73;164;56;38;44;21;68;185;49;40;64;21;58;162;32;19;59;10;50;139;35;23;46;13;45;162;45;23;33;8;60;188;51;32;51;16;84;219;84;21;49;11
" ";"....Slovaška";0;2;7;30;36;1;2;2;1;23;29;5;1;0;0;25;41;4;0;3;0;21;39;1;0;1;1;11;19;5;0;1;2;13;22;2;0;1;0;6;13;7
" ";"....Združeno kraljestvo";5;24;13;10;19;9;7;5;8;15;28;21;6;11;11;11;15;15;1;21;9;16;17;11;7;23;10;7;27;11;4;28;27;7;27;12;3;24;50;8;22;25
" ";"....ostale države èlanice EU";13;66;55;79;72;60;25;50;16;70;86;72;25;60;24;93;195;54;15;54;29;82;132;45;15;47;31;54;79;52;20;55;44;86;133;53;10;57;50;53;86;78
" ";"....Ruska federacija";0;5;9;9;4;36;1;3;7;26;14;49;0;2;3;41;20;72;0;2;3;67;26;102;4;3;6;49;44;142;0;1;5;42;30;156;0;3;11;37;30;103
" ";"....Švica";15;31;19;3;4;1;8;26;10;5;4;2;8;28;7;2;3;0;16;33;7;5;10;2;7;48;15;2;5;2;18;43;13;1;8;3;21;64;27;5;8;4
" ";"....Ukrajina";0;4;2;6;22;12;2;5;1;21;37;19;1;3;2;15;25;16;0;4;1;26;25;19;1;1;1;19;22;52;1;1;1;15;41;69;0;0;0;12;32;42
" ";"....ostale evropske države";2;1;5;8;3;4;1;4;4;3;4;8;1;3;2;5;6;3;1;2;2;10;6;1;0;8;2;6;5;7;1;7;2;4;10;3;1;3;2;6;7;4
" ";"AFRIKA";1;9;6;21;28;3;1;2;2;20;25;7;0;4;0;16;20;12;0;2;2;19;27;7;2;4;2;23;23;11;2;1;6;15;20;9;0;5;3;35;19;20
" ";"AZIJA";8;10;15;35;64;25;2;8;11;43;81;25;1;8;8;39;64;38;3;12;13;36;55;43;2;19;15;34;75;64;5;13;18;40;82;65;4;28;25;43;102;88
" ";"SEVERNA IN SREDNJA AMERIKA";18;41;40;20;23;18;15;42;15;14;19;12;10;26;20;13;21;20;11;37;20;11;27;12;10;41;24;16;25;12;12;39;18;10;22;17;12;43;32;4;17;19
" ";"JUŽNA AMERIKA";4;9;3;9;13;1;1;5;3;5;9;2;1;9;3;5;7;3;2;3;6;4;3;4;1;9;2;1;11;1;2;8;5;7;9;4;1;10;4;3;14;9
" ";"AVSTRALIJA IN OCEANIJA";6;20;3;3;5;1;4;12;3;3;4;3;6;16;8;4;5;1;5;14;3;3;1;2;7;18;10;4;2;2;3;28;6;2;5;2;1;13;8;1;7;3
"Ženske"
" ";"....Bosna in Hercegovina";15;20;13;532;370;95;12;22;2;601;435;126;9;8;3;644;452;84;6;12;4;558;407;140;17;13;6;665;609;136;13;25;5;565;547;144;19;12;5;591;627;188
" ";"....Èrna gora";1;0;1;17;12;13;4;3;2;20;12;6;0;2;3;24;13;7;1;4;1;12;13;6;1;4;1;9;7;6;0;3;2;9;8;7;3;1;2;9;14;8
" ";"....Kosovo";0;1;0;210;119;47;3;1;0;268;147;52;1;2;1;261;159;41;3;1;3;276;194;55;6;4;2;346;202;73;1;3;1;329;198;61;1;2;0;278;173;58
" ";"....Makedonija";16;8;7;201;141;54;5;6;2;238;180;64;3;7;2;188;131;71;3;7;0;181;128;47;4;5;3;159;127;55;1;5;3;157;183;72;6;4;4;177;199;71
" ";"....Srbija";22;31;17;120;127;61;13;29;12;142;129;101;10;22;13;122;111;90;7;23;7;131;121;84;12;19;11;127;126;66;7;19;10;123;139;68;6;20;13;114;179;77
" ";"....Avstrija";28;46;40;16;9;5;24;36;17;14;9;10;24;36;18;7;8;8;32;63;24;13;6;6;28;69;32;10;3;6;40;78;41;10;14;8;18;69;70;14;17;5
" ";"....Belgija";9;13;41;0;3;2;1;12;13;1;3;3;2;10;10;0;2;0;2;7;8;0;0;1;3;8;23;1;1;0;2;13;17;1;2;1;1;4;10;2;2;2
" ";"....Bolgarija";0;0;1;79;59;19;0;0;0;61;91;20;0;0;0;62;55;11;0;1;1;48;52;5;0;0;1;69;39;10;0;0;0;68;49;10;0;0;1;72;36;11
