Selitveno gibanje prebivalstva po: OBÈINE, LETO , MERITVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;1995; ; ; ;1996; ; ; ;1997; ; ; ;1998; ; ; ;1999; ; ; ;2000; ; ; ;2001; ; ; ;2002; ; ; ;2003; ; ; ;2004; ; ; ;2005; ; ; ;2006; ; ; ;2007; ; ; ;2008; ; ; ;2009; ; ; ;2010; ; ; ;2011; ; ; ;2012; ; ; ;2013; ; ; ;2014; ; ; ;2015; ; ; ;2016; ; ; ;2017; ; ; 
 ;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske
Ajdovšèina;9;10;1;1;5;6;2;2;5;5;2;3;27;9;5;7;15;6;13;3;18;19;5;4;33;13;7;25;66;22;39;20;61;26;36;26;83;11;96;28;83;19;85;14;142;31;77;22;269;41;91;27;312;40;69;13;287;50;171;31;87;43;142;25;63;44;79;18;52;42;86;35;43;38;50;35;56;30;41;28;76;52;52;27;110;53;80;67;118;59;69;44
Ankaran;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;11;43;9;46;14;36;19;29;20;42;17
Apaèe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;14;14;12;13;7;4;5;3;11;7;8;6;7;2;6;6;2;5;5;5;3;5;3;1;15;12;8;4;12;4;2;4;10;8;10;6;9;8;7;6;11;11
Beltinci;3;3;1;2;3;2;1;2;0;0;1;7;1;4;5;11;2;2;2;1;4;3;6;4;2;5;5;4;10;10;6;7;7;5;0;5;1;2;4;3;3;4;1;4;7;1;2;4;9;4;8;3;7;5;7;7;7;2;8;10;9;12;3;13;9;8;4;14;8;5;19;16;8;3;16;8;7;6;13;12;8;3;19;15;13;6;17;8;10;8;37;21
Benedikt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;1;0;0;0;1;0;0;1;4;1;0;0;0;0;0;0;1;0;0;3;1;0;1;0;0;6;0;2;1;15;2;3;4;24;1;21;8;8;2;16;0;5;0;2;2;0;5;6;3;4;1;13;9;4;4;3;3;4;2;7;9;4;5;11;6;9;1;7;9;4;1;15;5
Bistrica ob Sotli;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;0;1;0;1;1;0;1;2;1;3;2;7;2;3;3;3;3;7;3;0;2;1;1;3;0;1;4;1;3;3;4;4;1;4;5;7;5;9;6;2;5;5;2;3;4;3;0;2;4;3;3;2;2;8;0;0;3;2;0;3;1;1;0;0;1;2;1;4;2;0;0;1;3;6
Bled;9;8;5;2;4;7;6;5;0;3;4;0;24;10;32;2;14;11;5;3;12;13;20;3;22;8;2;5;23;14;17;20;26;21;19;17;21;19;24;12;43;23;21;10;65;28;45;18;67;22;45;24;73;29;35;20;45;23;42;17;30;31;29;23;34;22;27;21;29;35;29;23;39;35;33;29;16;25;30;25;33;29;30;27;35;25;31;30;44;34;42;30
Bloke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;0;3;2;0;2;0;1;1;0;1;0;1;0;5;0;0;0;16;4;8;0;19;2;6;1;45;0;29;1;41;1;20;3;16;4;15;1;12;2;11;1;1;1;4;2;1;0;2;0;0;0;3;2;2;3;1;0;1;1;3;1;1;1;0;3;2;0;3;4;1;3;2;1
Bohinj;2;0;1;0;2;1;3;0;3;1;1;0;4;4;0;5;2;1;2;2;5;0;1;1;5;3;2;0;10;3;12;1;8;6;8;6;9;2;2;2;12;6;4;1;10;4;13;3;48;9;9;3;33;20;9;3;31;5;9;9;12;13;17;2;8;9;9;7;11;13;7;7;6;4;9;11;6;9;7;10;13;22;7;17;18;15;7;3;20;14;11;6
