"Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO , SPOL"

" ";" ";"1991";" ";"1992";" ";"1993";" ";"1994";" ";"1995";" ";"1996";" ";"1997";" ";"1998";" ";"1999";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" ";"2017";" "
" ";" ";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"0-4 let";302;299;167;134;121;91;77;68;209;203;264;223;209;182;129;148;58;60;82;93;126;125;167;142;180;164;169;153;345;293;464;387;410;390;753;689;557;503;515;498;484;426;512;476;452;391;453;394;471;398;419;377;452;399
" ";"5-9 let";179;174;117;109;105;88;77;68;176;169;330;308;154;152;127;102;59;74;71;82;88;99;104;113;109;121;118;112;179;146;190;176;276;247;363;324;403;349;285;225;267;262;332;288;314;288;343;297;430;374;381;365;445;376
" ";"10-14 let";106;120;134;130;127;121;65;66;142;119;259;246;114;118;104;90;78;67;81;65;79;89;90;103;94;100;109;98;175;147;198;166;262;262;346;283;349;326;232;204;248;212;271;240;272;231;291;248;415;321;367;321;361;366
" ";"15-19 let";194;203;104;106;106;95;75;62;289;130;507;232;433;186;168;130;142;107;178;129;199;158;290;170;313;181;453;201;654;305;900;316;1100;403;809;444;762;428;329;353;350;301;393;345;406;342;463;376;537;414;580;467;574;477
" ";"20-24 let";502;459;114;128;85;80;65;87;362;228;687;412;1141;383;384;283;598;166;758;288;929;500;1034;547;1089;536;1270;477;2030;658;3140;647;4535;832;4134;880;3946;1173;1261;814;876;744;930;864;854;745;813;749;874;776;1111;827;1513;851
" ";"25-29 let";719;342;118;119;114;115;71;60;501;278;824;464;900;385;424;236;609;167;777;289;900;423;1040;470;1050;470;1226;443;1880;610;2723;591;4246;846;4348;1014;4402;1148;1644;851;1168;889;1332;908;1212;838;1047;824;1251;879;1367;869;1765;896
" ";"30-34 let";497;178;125;94;125;101;88;67;514;238;792;427;701;254;337;186;581;163;578;210;700;288;826;327;875;326;1055;265;1524;448;2098;477;3457;668;3354;842;3408;932;1264;655;1074;695;1236;707;1089;623;1083;687;1195;803;1375;738;1725;772
" ";"35-39 let";440;119;129;110;114;84;79;61;398;167;677;283;555;180;349;139;502;110;618;152;653;171;737;226;742;246;928;219;1317;291;1864;368;2915;500;2940;611;2700;694;1096;493;869;558;1025;582;953;510;938;546;1083;629;1309;623;1453;617
